"name","optional|required|system","type","description"
"_id","system","string","Contact ID."
"revision","system","number","Revision number| which increments by 1 each time the contact is updated. To prevent conflicting changes| the existing revision must be used when updating a contact."
"source","optional|required|system","OBJECT.Source","Details about the contact's source."
"source.sourceType","requiredElement","ELEMENT.string","Source type.Some possible values: 'OTHER'|'ADMIN'|'WIX_APP'|'IMPORT'|'THIRD_PARTY'|'WIX_BOOKINGS'|'WIX_CHAT'|'WIX_EMAIL_MARKETING'|'WIX_EVENTS'|'WIX_FORMS'|'WIX_GROUPS'|'WIX_HOTELS'|'WIX_MARKET_PLACE'|'WIX_MUSIC'|'WIX_RESTAURANTS'|'WIX_SITE_MEMBERS'|'WIX_STORES'."
"source.appId","optionalElement","ELEMENT.string","App ID| if the contact was created by an app."
"_createdDate","system","Date","Date and time the contact was created."
"_updatedDate","system","Date","Date and time the contact was last updated."
"lastActivity","system","OBJECT.LastActivity","Details about the contact's last action in the site.(¿System only Right?)"
"lastActivity.activityDate","system","ELEMENT.Date","Date and time of the last action."
"lastActivity.activityType","system","ELEMENT.string","Contact's last action in the site.Some possible values: 'GENERAL'|'CONTACT_CREATED'|'MEMBER_LOGIN'|'MEMBER_REGISTER'|'MEMBER_STATUS_CHANGED'|'FORM_SUBMITTED'|'INBOX_FORM_SUBMITTED'|'INBOX_PAYMENT_REQUEST_PAID'|'INBOX_MESSAGE_TO_CUSTOMER'|'INBOX_MESSAGE_FROM_CUSTOMER'|'NEWSLETTER_SUBSCRIPTION_FORM_SUBMITTED'|'NEWSLETTER_SUBSCRIPTION_UNSUBSCRIBE'|'ECOM_PURCHASE'|'ECOM_CART_ABANDON'|'ECOM_CHECKOUT_BUYER'|'BOOKINGS_APPOINTMENT'|'HOTELS_RESERVATION'|'HOTELS_PURCHASE'|'HOTELS_CONFIRMATION'|'HOTELS_CANCEL'|'VIDEO_PURCHASE'|'VIDEO_RENT'|'CASHIER_BUTTON_PURCHASE'|'ARENA_NEW_LEAD'|'EVENTS_RSVP'|'INVOICE_PAY'|'INVOICE_OVERDUE'|'PRICE_QUOTE_ACCEPT'|'PRICE_QUOTE_EXPIRE'|'RESTAURANTS_ORDER'|'RESTAURANTS_RESERVATION'|'SHOUTOUT_OPEN'|'SHOUTOUT_CLICK'|'CONTACT_MERGED'."
